,city,trips_in_first_30_days,signup_date,last_trip_date,weekday_pct,avg_dist,months_with_company
0,King's Landing,4,2014-01-25,2014-06-17,46.2,3.67,4
1,Astapor,0,2014-01-29,2014-05-05,50.0,8.26,3
2,Astapor,3,2014-01-06,2014-01-07,100.0,0.77,0
3,King's Landing,9,2014-01-10,2014-06-29,80.0,2.36,5
4,Winterfell,14,2014-01-27,2014-03-15,82.4,3.13,1
5,Winterfell,2,2014-01-09,2014-06-06,100.0,10.56,4
6,Astapor,1,2014-01-24,2014-01-25,100.0,3.95,0
7,Winterfell,2,2014-01-28,2014-01-29,100.0,2.04,0
8,Winterfell,2,2014-01-21,2014-02-01,100.0,4.36,0
9,Winterfell,1,2014-01-03,2014-01-05,0.0,2.37,0
10,Winterfell,1,2014-01-13,2014-05-30,100.0,4.28,4
11,Winterfell,3,2014-01-06,2014-01-10,100.0,3.81,0
12,Winterfell,1,2014-01-15,2014-03-12,100.0,20.29,1
13,King's Landing,0,2014-01-29,2014-06-08,50.0,3.04,4
14,Astapor,1,2014-01-27,2014-01-28,100.0,26.01,0
15,Winterfell,1,2014-01-15,2014-01-16,100.0,13.2,0
16,King's Landing,1,2014-01-11,2014-06-28,50.0,10.86,5
17,King's Landing,0,2014-01-12,2014-07-01,95.2,2.38,5
18,King's Landing,6,2014-01-28,2014-06-24,80.8,6.83,4
19,King's Landing,0,2014-01-02,2014-06-03,66.7,12.08,4
20,Winterfell,1,2014-01-31,2014-03-16,50.0,2.53,1
21,Astapor,1,2014-01-09,2014-04-29,100.0,3.31,3
22,Winterfell,0,2014-01-24,2014-05-02,100.0,11.47,3
23,King's Landing,0,2014-01-21,2014-06-13,100.0,7.74,4
24,Astapor,4,2014-01-19,2014-05-18,36.4,2.1,3
25,Winterfell,1,2014-01-02,2014-01-03,100.0,14.48,0
26,Astapor,1,2014-01-16,2014-01-22,100.0,1.66,0
27,Winterfell,3,2014-01-19,2014-03-05,100.0,3.05,1
28,Winterfell,0,2014-01-19,2014-06-08,0.0,5.97,4
29,Astapor,1,2014-01-27,2014-02-27,100.0,11.25,1
30,Astapor,4,2014-01-26,2014-02-07,25.0,6.12,0
31,Winterfell,1,2014-01-25,2014-06-14,40.0,11.86,4
32,Winterfell,1,2014-01-05,2014-06-10,100.0,10.01,5
33,Winterfell,1,2014-01-27,2014-02-28,100.0,4.48,1
34,Astapor,1,2014-01-16,2014-01-17,100.0,4.12,0
35,King's Landing,2,2014-01-17,2014-02-21,100.0,14.16,1
36,Astapor,2,2014-01-21,2014-06-25,50.0,2.43,5
37,Astapor,0,2014-01-02,2014-04-26,50.0,1.38,3
38,King's Landing,24,2014-01-22,2014-06-30,61.6,4.69,5
39,King's Landing,1,2014-01-09,2014-06-23,100.0,13.73,5
40,Winterfell,2,2014-01-31,2014-02-01,50.0,0.83,0
41,Winterfell,0,2014-01-18,2014-05-10,0.0,3.8,3
42,Winterfell,1,2014-01-25,2014-01-26,0.0,5.72,0
43,Winterfell,1,2014-01-13,2014-03-17,50.0,16.52,2
44,King's Landing,2,2014-01-22,2014-06-18,66.7,1.4,4
45,Astapor,3,2014-01-10,2014-04-19,50.0,3.0,3
46,Astapor,6,2014-01-20,2014-01-22,100.0,2.93,0
47,Winterfell,1,2014-01-18,2014-01-19,0.0,3.61,0
48,Winterfell,4,2014-01-04,2014-01-28,100.0,1.75,0
49,Winterfell,2,2014-01-04,2014-06-19,71.4,10.54,5
50,Winterfell,0,2014-01-04,2014-02-15,0.0,3.25,1
51,Winterfell,4,2014-01-02,2014-05-02,52.4,3.24,3
52,Winterfell,0,2014-01-12,2014-06-01,80.0,4.98,4
53,Astapor,6,2014-01-17,2014-05-16,22.2,3.15,3
54,Winterfell,2,2014-01-10,2014-06-15,50.0,4.94,5
55,Winterfell,1,2014-01-04,2014-01-17,100.0,36.01,0
56,Astapor,1,2014-01-09,2014-04-29,100.0,23.49,3
57,Astapor,0,2014-01-31,2014-03-10,66.7,10.21,1
58,Astapor,0,2014-01-05,2014-04-20,40.0,2.6,3
59,Astapor,1,2014-01-25,2014-03-29,0.0,6.05,2
60,Astapor,1,2014-01-04,2014-01-05,0.0,3.01,0
61,Astapor,1,2014-01-31,2014-02-02,0.0,4.66,0
62,King's Landing,0,2014-01-30,2014-05-09,75.0,4.81,3
63,Astapor,3,2014-01-29,2014-06-29,54.1,2.21,4
64,Astapor,1,2014-01-11,2014-05-04,66.7,6.12,3
65,Winterfell,1,2014-01-20,2014-03-19,75.0,10.37,1
66,Winterfell,1,2014-01-07,2014-01-28,100.0,2.42,0
67,Winterfell,0,2014-01-18,2014-06-13,100.0,1.89,4
68,King's Landing,0,2014-01-01,2014-06-15,0.0,4.44,5
69,Astapor,5,2014-01-18,2014-06-17,63.2,2.61,4
70,Astapor,0,2014-01-08,2014-04-23,100.0,4.46,3
71,Astapor,1,2014-01-01,2014-01-01,100.0,1.02,0
72,Astapor,1,2014-01-07,2014-01-08,100.0,0.0,0
73,Astapor,2,2014-01-19,2014-01-25,0.0,37.11,0
74,King's Landing,7,2014-01-24,2014-06-10,84.0,2.3,4
75,Winterfell,0,2014-01-21,2014-04-27,0.0,1.45,3
76,Astapor,5,2014-01-26,2014-01-30,100.0,2.47,0
77,Astapor,0,2014-01-01,2014-02-03,100.0,19.8,1
78,Winterfell,1,2014-01-23,2014-04-20,0.0,1.82,2
79,Astapor,0,2014-01-23,2014-06-01,66.7,10.49,4
80,Astapor,0,2014-01-12,2014-05-03,50.0,3.99,3
81,Winterfell,1,2014-01-25,2014-02-05,100.0,17.89,0
82,Winterfell,1,2014-01-06,2014-06-20,81.8,4.61,5
83,King's Landing,7,2014-01-03,2014-06-29,63.2,2.6,5
84,Astapor,0,2014-01-09,2014-06-30,100.0,5.01,5
85,Winterfell,4,2014-01-27,2014-04-28,100.0,2.42,2
86,King's Landing,9,2014-01-20,2014-05-25,66.7,3.55,4
87,Winterfell,6,2014-01-23,2014-07-01,67.6,3.06,5
88,King's Landing,3,2014-01-05,2014-06-29,42.9,3.3,5
89,Astapor,0,2014-01-19,2014-05-18,0.0,4.67,3
90,Winterfell,1,2014-01-10,2014-02-09,0.0,6.28,0
91,Astapor,3,2014-01-18,2014-06-26,50.0,10.83,5
92,Winterfell,7,2014-01-02,2014-06-27,55.2,1.55,5
93,Winterfell,5,2014-01-05,2014-05-28,80.0,1.13,4
94,Astapor,1,2014-01-17,2014-01-18,0.0,23.34,0
95,Astapor,1,2014-01-23,2014-01-23,100.0,1.35,0
96,Winterfell,11,2014-01-26,2014-07-01,76.9,4.89,5
97,Astapor,4,2014-01-07,2014-01-11,75.0,5.36,0
98,King's Landing,1,2014-01-18,2014-06-19,90.0,4.2,4
99,Astapor,73,2014-01-27,2014-03-05,89.7,2.86,1
100,Astapor,0,2014-01-17,2014-06-02,100.0,8.3,4
101,Astapor,1,2014-01-18,2014-05-25,33.3,6.08,4
102,King's Landing,8,2014-01-31,2014-06-25,50.0,2.15,4
103,Winterfell,2,2014-01-30,2014-06-22,50.0,6.86,4
104,Winterfell,3,2014-01-01,2014-06-28,63.6,4.08,5
105,Winterfell,0,2014-01-20,2014-06-23,0.0,4.99,5
106,Astapor,0,2014-01-04,2014-04-06,0.0,1.63,3
107,King's Landing,14,2014-01-07,2014-06-29,50.0,10.79,5
108,Astapor,1,2014-01-03,2014-01-08,100.0,9.14,0
109,Astapor,1,2014-01-19,2014-04-14,66.7,3.07,2
110,Astapor,2,2014-01-25,2014-06-11,50.0,5.25,4
111,King's Landing,1,2014-01-09,2014-06-17,100.0,3.81,5
112,Astapor,1,2014-01-09,2014-06-29,36.4,2.65,5
113,Winterfell,1,2014-01-01,2014-03-29,33.3,10.29,2
114,Winterfell,1,2014-01-08,2014-06-28,63.6,12.32,5
115,Astapor,0,2014-01-07,2014-04-09,100.0,1.16,3
116,Winterfell,1,2014-01-10,2014-01-11,100.0,0.0,0
117,Astapor,1,2014-01-10,2014-04-17,100.0,2.64,3
118,Winterfell,0,2014-01-14,2014-06-10,85.7,16.85,4
119,Astapor,1,2014-01-11,2014-01-12,0.0,4.14,0
120,Astapor,3,2014-01-15,2014-05-23,88.9,2.67,4
121,Winterfell,2,2014-01-07,2014-06-15,41.2,5.55,5
122,King's Landing,0,2014-01-17,2014-06-23,0.0,1.58,5
123,Astapor,0,2014-01-25,2014-04-03,33.3,1.78,2
124,Winterfell,0,2014-01-21,2014-06-05,100.0,6.1,4
125,Winterfell,0,2014-01-10,2014-03-16,90.0,8.14,2
126,Astapor,2,2014-01-16,2014-01-17,100.0,6.04,0
127,Winterfell,2,2014-01-19,2014-06-28,0.0,2.92,5
128,Astapor,0,2014-01-26,2014-04-20,20.0,2.81,2
129,Winterfell,3,2014-01-11,2014-01-12,0.0,2.0,0
130,Astapor,0,2014-01-31,2014-05-25,0.0,7.4,3
131,Astapor,0,2014-01-12,2014-03-27,100.0,1.2,2
132,King's Landing,0,2014-01-25,2014-06-06,100.0,2.64,4
133,Winterfell,2,2014-01-10,2014-06-30,37.5,3.33,5
134,King's Landing,0,2014-01-10,2014-06-11,100.0,2.88,4
135,Winterfell,1,2014-01-17,2014-01-18,100.0,1.99,0
136,Winterfell,4,2014-01-19,2014-06-28,43.8,3.22,5
137,Winterfell,1,2014-01-02,2014-01-03,100.0,13.78,0
138,Astapor,0,2014-01-07,2014-05-31,0.0,8.2,4
139,King's Landing,4,2014-01-18,2014-06-13,45.5,10.47,4
140,King's Landing,2,2014-01-18,2014-06-08,16.7,2.27,4
141,Winterfell,3,2014-01-01,2014-05-25,41.7,1.68,4
142,King's Landing,1,2014-01-26,2014-06-25,10.0,3.57,4
143,King's Landing,2,2014-01-17,2014-06-23,40.0,11.63,5
144,Winterfell,0,2014-01-16,2014-06-21,100.0,0.95,5
145,King's Landing,11,2014-01-04,2014-06-24,57.5,4.86,5
146,Winterfell,0,2014-01-14,2014-03-28,100.0,4.97,2
147,Winterfell,7,2014-01-25,2014-07-01,57.7,5.44,5
148,Winterfell,0,2014-01-11,2014-05-21,100.0,2.64,4
149,Astapor,0,2014-01-10,2014-06-29,28.6,3.42,5
150,King's Landing,10,2014-01-05,2014-06-16,62.9,1.64,5
151,Winterfell,0,2014-01-18,2014-06-28,66.7,4.43,5
152,Winterfell,0,2014-01-31,2014-05-24,0.0,4.01,3
153,Winterfell,2,2014-01-21,2014-04-10,50.0,2.1,2
154,Winterfell,2,2014-01-24,2014-01-25,50.0,7.63,0
155,Winterfell,4,2014-01-31,2014-02-02,0.0,1.89,0
156,Winterfell,1,2014-01-26,2014-01-27,100.0,3.18,0
157,Winterfell,1,2014-01-20,2014-05-18,20.0,3.72,3
158,Astapor,0,2014-01-11,2014-03-28,100.0,3.8,2
159,Astapor,1,2014-01-12,2014-01-19,0.0,18.03,0
160,Astapor,1,2014-01-14,2014-06-01,30.0,2.92,4
161,King's Landing,0,2014-01-12,2014-06-25,42.9,2.03,5
162,Astapor,1,2014-01-04,2014-01-04,0.0,12.6,0
163,King's Landing,2,2014-01-31,2014-06-20,42.9,2.86,4
164,King's Landing,5,2014-01-05,2014-06-28,100.0,18.57,5
165,Astapor,2,2014-01-11,2014-01-12,0.0,1.5,0
166,Winterfell,1,2014-01-06,2014-01-07,100.0,2.36,0
167,Winterfell,0,2014-01-20,2014-02-22,100.0,1.73,1
168,Astapor,2,2014-01-30,2014-01-31,100.0,3.37,0
169,Winterfell,0,2014-01-24,2014-03-14,100.0,2.11,1
